day,attraction,attraction-url,time
Monday,""it's a small world"",http://www.disneylandparis.co.uk/attractions/disneyland-park/its-a-small-world/,0
Monday,Mad Hatter's Tea Cups,http://www.disneylandparis.co.uk/attractions/disneyland-park/mad-hatters-tea-cups/,5
Monday,Dumbo the Flying Elephant,http://www.disneylandparis.co.uk/attractions/disneyland-park/dumbo-the-flying-elephant/,15
Monday,Peter Pan's Flight,http://www.disneylandparis.co.uk/attractions/disneyland-park/peter-pans-flight/,10
Monday,Big Thunder Mountain,http://www.disneylandparis.co.uk/attractions/disneyland-park/big-thunder-mountain/,20
Tuesday,Big Thunder Mountain,http://www.disneylandparis.co.uk/attractions/disneyland-park/big-thunder-mountain/,30
Tuesday,Les Voyages de Pinocchio,http://www.disneylandparis.co.uk/attractions/disneyland-park/les-voyages-de-pinocchio/,30
Tuesday,Blanche-Neige et les Sept Nains,http://www.disneylandparis.co.uk/attractions/disneyland-park/blanche-neige-et-les-sept-nains/,25
Tuesday,Phantom Manor,http://www.disneylandparis.co.uk/attractions/disneyland-park/phantom-manor/,20
Tuesday,Star Tours: The Adventures Continue,http://www.disneylandparis.co.uk/attractions/disneyland-park/star-tours-the-aventures-continue/,20
Tuesday,Buzz Lightyear Laser Blast,http://www.disneylandparis.co.uk/attractions/disneyland-park/buzz-lightyear-laser-blast/,15
Wednesday,Les Tapis Volants - Flying Carpets Over Agrabah,http://www.disneylandparis.co.uk/attractions/walt-disney-studios-park/flying-carpets-over-agrabah/,15
Wednesday,Slinky Dog Zigzag Spin,http://www.disneylandparis.co.uk/attractions/walt-disney-studios-park/slinky-dog-zigzag-spin/,10
Wednesday,Ratatouille: The Adventure,http://www.disneylandparis.co.uk/attractions/walt-disney-studios-park/ratatouille-the-adventure/,30
Wednesday,Toy Soldiers Parachute Drop,http://www.disneylandparis.co.uk/attractions/walt-disney-studios-park/toy-soldiers-parachute-drop/,30
Wednesday,Cars Quatre Roues Rallye,http://www.disneylandparis.co.uk/attractions/walt-disney-studios-park/cars-quatre-roues-rallye/,10
Wednesday,Crush's Coaster,http://www.disneylandparis.co.uk/attractions/walt-disney-studios-park/crushs-coaster/,60
Wednesday,Les Tapis Volants - Flying Carpets Over Agrabah,http://www.disneylandparis.co.uk/attractions/walt-disney-studios-park/flying-carpets-over-agrabah/,5
Thursday,Le Carrousel de Lancelot,http://www.disneylandparis.co.uk/attractions/disneyland-park/le-carrousel-de-lancelot/,0
Thursday,Mad Hatter's Tea Cups,http://www.disneylandparis.co.uk/attractions/disneyland-park/mad-hatters-tea-cups/,5
Thursday,Princess Pavilion,http://www.disneylandparis.co.uk/attractions/disneyland-park/princess-pavilion/,60
Thursday,""it's a small world"",http://www.disneylandparis.co.uk/attractions/disneyland-park/its-a-small-world/,10
Thursday,The Twilight Zone Tower of Terror,http://www.disneylandparis.co.uk/attractions/walt-disney-studios-park/twilight-zone-tower-of-terror/,45
