"station","code","month","category","destination","number of times","trip number"
"Swansea","SWA","January","Conference","One Team Gov in Wales in Techniquest","2","1"
"Cardiff Central","CDF","January","Conference","One Team Gov in Wales in Techniquest","2","1"
"Swansea","SWA","January","User research","Birmingham","2","2"
"Bristol Parkway","BPW","January","User research","Birmingham","1","2"
"Birmingham New Street","BHM","January","User research","Birmingham","2","2"
"Newport (South Wales)","NWP","January","User research","Birmingham","1","2"
"Swansea","SWA","February","Meeting design teams","BBC","2","3"
"London Paddington","PAD","February","Meeting design teams","BBC","2","3"
"Swansea","SWA","February","User research","Manchester","2","4"
"Bristol Parkway","BPW","February","User research","Manchester","1","4"
"Manchester Picadilly","MAN","February","User research","Manchester","2","4"
"Swansea","SWA","February","Meeting","Titchfield","2","5"
"Cardiff Central","CDF","February","Meeting","Titchfield","1","5"
"Newport (South Wales)","NWP","February","Meeting","Titchfield","1","5"
"Fareham","???","February","Meeting","Titchfield","2","5"
